dataset,seed,origin,MSE,run_mean_MSE,origin_relative_to_run_mean_pct
ETTh2,43,2,0.2694407381752665,0.27023150368916016,-0.2926252132331997
ETTh2,43,3,0.2665544309538249,0.27023150368916016,-1.3607120876494405
ETTh2,43,4,0.2648189675949257,0.27023150368916016,-2.002925647211129
ETTh2,43,5,0.2762407164465906,0.27023150368916016,2.2237276836318376
ETTh2,43,6,0.2621917252094476,0.27023150368916016,-2.975144781402128
ETTh2,43,7,0.2562330738904854,0.27023150368916016,-5.1801620490469436
ETTh2,43,8,0.2602589270180749,0.27023150368916016,-3.690382703327011
ETTh2,43,9,0.2646861564868107,0.27023150368916016,-2.0520728067028426
ETTh2,43,10,0.2653138328237132,0.27023150368916016,-1.8197992455770917
ETTh2,43,11,0.2710046897347764,0.27023150368916016,0.28611987686884
ETTh2,44,0,0.2936789790393242,0.2664484106112111,10.219827682833005
ETTh2,44,1,0.2797714326023874,0.2664484106112111,5.000225732483954
ETTh2,44,2,0.2640259734718144,0.2664484106112111,-0.9091580369497532
ETTh2,44,3,0.2571316906144477,0.2664484106112111,-3.4966318528196982
ETTh2,44,4,0.2567699646256446,0.2664484106112111,-3.632390211435277
ETTh2,44,5,0.2657808943058047,0.2664484106112111,-0.25052365817276323
ETTh2,44,6,0.257148877233004,0.2664484106112111,-3.4901815915789225
ETTh2,44,7,0.2563670099595676,0.2664484106112111,-3.783621988405772
ETTh2,44,8,0.2597669563654884,0.2664484106112111,-2.5075977110901038
ETTh2,44,9,0.2626302842486409,0.2664484106112111,-1.4329702150640555
ETTh2,44,10,0.2675928804511722,0.2664484106112111,0.4295277413499221
ETTh2,44,11,0.2767159844172372,0.2664484106112111,3.8534941088494756
ETTm1,42,0,0.3511567929502302,0.3347256574014299,4.90883659064556
ETTm1,42,1,0.3399595638830437,0.3347256574014299,1.5636406609060405
ETTm1,42,2,0.3316032098414588,0.3347256574014299,-0.932837830303046
ETTm1,42,3,0.3302804390375746,0.3347256574014299,-1.3280184131580497
ETTm1,42,4,0.3341044386712364,0.3347256574014299,-0.18559041306130952
ETTm1,42,5,0.3291832569826267,0.3347256574014299,-1.6558038788631935
ETTm1,42,6,0.3310339651796437,0.3347256574014299,-1.1029008802151186
ETTm1,42,7,0.3298896290961064,0.3347256574014299,-1.4447737119607007
ETTm1,42,8,0.3303928717988548,0.3347256574014299,-1.294428887289889
ETTm1,42,9,0.3318957020722914,0.3347256574014299,-0.8454551560547308
