window,origin_a,origin_b,disagreement_objective,gradient_l2,head_delta_l2,direct_prediction_delta_l2,head_delta_residual_mse,head_reconstruction_relative_error,raw_reconstruction_relative_error
3095,0,6,0.003831755369901657,0.014185760170221329,2.779355525970459,2.779355525970459,5.26616434582349e-15,1.1723259376594797e-06,1.1723259376594797e-06
3096,0,6,0.006175634916871786,0.015513818711042404,3.5284667015075684,3.5284667015075684,5.253653669192544e-15,9.223376764566638e-07,9.223376764566638e-07
3097,0,6,0.008381134830415249,0.01816105656325817,4.110518932342529,4.110518932342529,5.039552962763337e-15,7.754335911158705e-07,7.754335911158705e-07
3098,0,6,0.008524545468389988,0.02037825994193554,4.145537376403809,4.145537376403809,5.0841509415021705e-15,7.722779287178128e-07,7.722779287178128e-07
3099,0,6,0.007485330570489168,0.02041863650083542,3.8846395015716553,3.8846397399902344,5.356732073159235e-15,8.459496143586875e-07,8.459496143586875e-07
3100,0,6,0.0069574215449392796,0.02028440497815609,3.745151996612549,3.745151996612549,5.348090219514873e-15,8.76748742939526e-07,8.76748742939526e-07
3101,0,6,0.004450077190995216,0.018051903694868088,2.9952220916748047,2.9952220916748047,5.1969151672207146e-15,1.0806598993440275e-06,1.0806598993440275e-06
3102,0,6,0.003684509079903364,0.016460083425045013,2.7254302501678467,2.725430488586426,5.451972881264982e-15,1.2164297231720411e-06,1.2164297231720411e-06
3103,0,6,0.0029233365785330534,0.013436762616038322,2.4276421070098877,2.4276421070098877,5.156204222676831e-15,1.3280842949825455e-06,1.3280842949825455e-06
3104,0,6,0.0034337725955992937,0.011611873283982277,2.631061553955078,2.631061553955078,5.740049633659117e-15,1.2929211834489251e-06,1.2929211834489251e-06
3105,0,6,0.003009463893249631,0.010241638869047165,2.463144063949585,2.463144302368164,5.922854166753172e-15,1.4028812529431889e-06,1.4028812529431889e-06
3106,0,6,0.002970027271658182,0.012284433469176292,2.4469521045684814,2.4469521045684814,5.867232054205824e-15,1.4055179917704663e-06,1.4055179917704663e-06
3107,0,6,0.003695226740092039,0.01553565263748169,2.72939133644104,2.729391098022461,5.8172100999892475e-15,1.2546911420940887e-06,1.2546911420940887e-06
3108,0,6,0.005008096341043711,0.01764826476573944,3.1774709224700928,3.1774709224700928,5.905009723653366e-15,1.0858603900487651e-06,1.0858603900487651e-06
3109,0,6,0.005180896259844303,0.019363733008503914,3.2318241596221924,3.2318241596221924,5.8839050507395775e-15,1.0656887070581433e-06,1.0656887070581433e-06
3110,0,6,0.0061777266673743725,0.02088567614555359,3.529064416885376,3.529064416885376,6.044327161718911e-15,9.89144268714881e-07,9.89144268714881e-07
3111,0,6,0.00792760867625475,0.022493524476885796,3.9977564811706543,3.9977564811706543,6.816847891152672e-15,9.273010164179141e-07,9.273010164179141e-07
3112,0,6,0.008696743287146091,0.02082647942006588,4.187199115753174,4.187198638916016,5.719895331712148e-15,8.109904001685209e-07,8.109904001685209e-07
3113,0,6,0.008773774839937687,0.019395876675844193,4.20570182800293,4.20570182800293,6.119110006566099e-15,8.351238989234844e-07,8.351238989234844e-07
3114,0,6,0.008516405709087849,0.01866142451763153,4.143558025360107,4.143558025360107,6.053724992268698e-15,8.431079550064169e-07,8.431079550064169e-07
3115,0,6,0.007534809876233339,0.01777644269168377,3.8974575996398926,3.8974575996398926,6.190191740950259e-15,9.063916195373167e-07,9.063916195373167e-07
3116,0,6,0.006638422142714262,0.018244395032525063,3.6582863330841064,3.6582863330841064,5.581892912297215e-15,9.169767167804821e-07,9.169767167804821e-07
3117,0,6,0.0072606410831213,0.020248284563422203,3.8258919715881348,3.825892210006714,6.031361204878816e-15,9.114233989748755e-07,9.114233989748755e-07
3118,0,6,0.0066390372812747955,0.021044116467237473,3.6584556102752686,3.6584558486938477,5.927226127310425e-15,9.448725108995859e-07,9.448725108995859e-07
3119,0,6,0.005447471048682928,0.019631866365671158,3.31392502784729,3.313925266265869,5.450735366129044e-15,1.0002995622926392e-06,1.0002995622926392e-06
3120,0,6,0.005947486963123083,0.018171526491642,3.462677240371704,3.462677240371704,5.687450158184046e-15,9.77894615061814e-07,9.77894615061814e-07
3121,0,6,0.00650610588490963,0.01875479333102703,3.6216444969177246,3.6216447353363037,5.7406408626563005e-15,9.393331197316002e-07,9.393331197316002e-07
3122,0,6,0.008385886438190937,0.020681260153651237,4.111684322357178,4.111684322357178,5.699973963825674e-15,8.244454079431307e-07,8.244454079431307e-07
3123,0,6,0.008928096853196621,0.019381336867809296,4.242527961730957,4.242527961730957,5.535167186794879e-15,7.873828167248575e-07,7.873828167248575e-07
3124,0,6,0.009255594573915005,0.018858445808291435,4.319638729095459,4.319638729095459,5.196639457996383e-15,7.493057978535944e-07,7.493057978535944e-07
3125,0,6,0.009117422625422478,0.018834026530385017,4.287274360656738,4.2872748374938965,5.319613818861131e-15,7.638428769496386e-07,7.638428769496386e-07
3126,0,6,0.007366241421550512,0.016071049496531487,3.853614330291748,3.853614091873169,5.579576700702948e-15,8.703173648427764e-07,8.703173648427764e-07
3127,0,6,0.006244680844247341,0.014915915206074715,3.5481369495391846,3.5481369495391846,4.966991885336797e-15,8.918495950638317e-07,8.918495950638317e-07
3128,0,6,0.0059096249751746655,0.016074014827609062,3.4516377449035645,3.4516377449035645,5.462415103438733e-15,9.614183227313333e-07,9.614183227313333e-07
3129,0,6,0.0052156043238937855,0.01562957465648651,3.242631196975708,3.242631435394287,5.2104312719600514e-15,9.995038681154256e-07,9.995038681154256e-07
3130,0,6,0.005157186184078455,0.014694969169795513,3.2244205474853516,3.2244203090667725,5.368172523661325e-15,1.0202505791312433e-06,1.0202505791312433e-06
3131,0,6,0.0033649886026978493,0.011496082879602909,2.6045761108398438,2.6045761108398438,5.4732660190095345e-15,1.2753561122735846e-06,1.2753561122735846e-06
