layer,window_id,origin,stratum,forecast_mse,pc1,pc2,pc3
layer1,4716,6,0,0.08979746699333191,-0.6214880515313745,-0.0025314633627315153,0.7157984986815589
layer1,4776,6,0,0.08740780502557755,-0.6429728015472981,-0.008915596434997758,0.600402656757126
layer1,5253,6,0,0.07152901589870453,0.818541044352601,0.4933176741219428,0.1832818039692435
layer1,5256,6,0,0.07499679923057556,0.7375952023358604,-0.29776820682470545,0.5688232283299158
layer1,5422,6,0,0.08284489810466766,0.9709847026997697,0.40160114635157,0.3903777354152287
layer1,5759,6,0,0.05523794889450073,1.239887608530123,0.23958549397709225,0.5512642967783999
layer1,485,6,1,0.10887666046619415,-0.41900849584021693,-0.24765305781935198,-0.22650569316486374
layer1,775,6,1,0.1297258734703064,-0.3094862580661922,-0.023417000150227022,-0.4747792083721634
layer1,1227,6,1,0.12399803102016449,0.02155030062250748,-0.836701428367801,0.19995939899897536
layer1,1235,6,1,0.10250509530305862,0.38392095085039585,0.5166565919178588,0.490640767378326
layer1,1417,6,1,0.11559368669986725,0.26869787488075353,-0.14901968304614804,0.7420195732103669
layer1,1720,6,1,0.09886251389980316,0.1834285420506018,-0.7888764929324329,-0.15917279801151507
layer1,1893,6,1,0.10740203410387039,0.39872907781137085,0.5073405730091473,-0.2510270758069752
layer1,2018,6,1,0.11050130426883698,0.4100285791558348,-0.3257170809941022,0.5226261388566084
layer1,2118,6,1,0.12367060035467148,0.4633061946610743,-0.42659863007758136,-0.5163926914680013
layer1,2319,6,1,0.10915116220712662,0.5876599661144019,-0.6005179610350299,0.3430696590961627
layer1,2355,6,1,0.12068819999694824,0.6045664074043487,-0.5931456190781406,0.3488188167790271
layer1,2364,6,1,0.11271567642688751,0.7766893595485935,0.45304725107744115,0.3153846715463326
layer1,2528,6,1,0.12592288851737976,0.6806887423915983,-0.08064566137367697,-0.4929806785949179
layer1,2553,6,1,0.12361574172973633,0.7445330742934843,0.2898023024122963,-0.5507856074145775
layer1,2671,6,1,0.12466714531183243,0.2101636577174211,-0.6167634485635292,-0.5991326484513114
layer1,2683,6,1,0.10115911811590195,0.14928626960051264,-0.5904004727335582,-0.6024098145725666
layer1,3604,6,1,0.11366451531648636,-0.45165177248467936,-0.4330019367746663,-0.250341713669722
layer1,3626,6,1,0.10852929949760437,-0.32334324684729854,-0.44858290866750145,0.36176276014895364
layer1,5103,6,1,0.13337883353233337,0.11113060227861773,-0.7132053939786582,-0.17402653936574947
layer1,5132,6,1,0.09770754724740982,0.2835722987989161,0.5486014782611738,-0.08230591377806407
layer1,5282,6,1,0.12101559340953827,0.8405190801700345,-0.797669364587714,0.0731091802225256
layer1,5393,6,1,0.11291822046041489,0.8813389389986724,-0.2180228032816512,-0.7024442106286403
layer1,5476,6,1,0.1311182826757431,0.7888387103845838,-0.5786161829939374,-0.5456938823176452
layer1,5770,6,1,0.13059554994106293,1.2388130276646432,0.5159745822200834,0.28292473308018273
layer1,379,6,2,0.14347994327545166,-0.43272280992297385,0.03757069843853007,-0.2424239193613414
layer1,463,6,2,0.16470016539096832,-0.42192470826341,0.0827486371099371,-0.26171645151149747
layer1,1170,6,2,0.1435490995645523,0.0560457923290545,-0.3141815755148487,-0.7011649090803963
layer1,2552,6,2,0.13584178686141968,0.6216535058521483,-0.09863282032140241,-0.5374075303196002
