window,origin_a,origin_b,disagreement_objective,gradient_l2,head_delta_l2,direct_prediction_delta_l2,head_delta_residual_mse,head_reconstruction_relative_error,raw_reconstruction_relative_error
4441,0,6,242.82789611816406,1.1278223991394043,25.68503189086914,699.6720581054688,1.874686517133739e-10,8.303674690068874e-07,8.786482226241787e-07
4442,0,6,190.0665740966797,1.0747032165527344,25.08275032043457,619.0106201171875,4.00258937105491e-10,8.625265763839707e-07,1.4511679182760417e-06
4443,0,6,136.46676635742188,1.0562329292297363,23.794649124145508,524.5159912109375,2.391633002751803e-10,9.050580729308422e-07,1.3238347946753493e-06
4444,0,6,129.0052032470703,1.0155913829803467,23.61064910888672,509.9750061035156,1.6450242557031203e-10,8.826926887195441e-07,1.1292303270238335e-06
4445,0,6,156.45208740234375,1.5096240043640137,22.246139526367188,561.6113891601562,2.0958529356462918e-10,9.329316981165903e-07,1.1574167047001538e-06
4446,0,6,137.3759765625,1.0370720624923706,20.072887420654297,526.2603149414062,1.9803095274717464e-10,1.0385064115325804e-06,1.2006354381810525e-06
4447,0,6,168.0171356201172,1.2453505992889404,21.083507537841797,581.998779296875,2.169704416132845e-10,1.01212185654731e-06,1.136379637500795e-06
4448,0,6,172.65830993652344,1.2604174613952637,20.84135627746582,589.9822998046875,1.8235787879739007e-10,1.0259661848976975e-06,1.0277051387674874e-06
4449,0,6,188.101318359375,1.3309969902038574,21.72957992553711,615.8021240234375,1.902547147603073e-10,9.95503228296002e-07,1.0057077588498942e-06
4450,0,6,140.7147216796875,1.8714944124221802,25.365619659423828,532.6170043945312,2.148674016488883e-10,8.443005299341166e-07,1.235707031810307e-06
4451,0,6,120.62065887451172,1.4481778144836426,29.550416946411133,493.12396240234375,2.1021366591877921e-10,7.072529228935309e-07,1.3201388355810195e-06
4452,0,6,119.4240951538086,2.599435567855835,28.84977149963379,490.6719665527344,2.325024062166392e-10,7.445186156473937e-07,1.3953005009170738e-06
4453,0,6,129.61521911621094,1.358893871307373,27.044246673583984,511.1792907714844,1.9553918206849374e-10,7.625890248164069e-07,1.2282559964660322e-06
4454,0,6,101.2222671508789,1.1416711807250977,27.286151885986328,451.7345275878906,2.1241355896428615e-10,7.902390848357754e-07,1.4486153077086783e-06
4455,0,6,73.89472961425781,1.5369787216186523,27.10650634765625,385.9685974121094,3.7096800631353233e-10,7.717601420154097e-07,2.240585445179022e-06
4456,0,6,97.64991760253906,1.3234635591506958,27.16111183166504,443.69158935546875,1.7913753813658673e-10,7.475543952750741e-07,1.3544323564929073e-06
4457,0,6,143.93299865722656,1.1243443489074707,27.35431671142578,538.6732788085938,2.0660043120734883e-10,7.47922797472711e-07,1.1980789622612065e-06
4458,0,6,150.71070861816406,1.0648030042648315,24.92972755432129,551.2103271484375,2.2363057239349615e-10,8.177789254659729e-07,1.2181297961433302e-06
4459,0,6,175.3164825439453,1.213189959526062,24.788997650146484,594.5065307617188,2.0213528073576015e-10,8.248898097917845e-07,1.0737661568782642e-06
4460,0,6,258.35736083984375,1.489965558052063,27.382848739624023,721.6982421875,3.573017992586358e-10,7.872415608289884e-07,1.175999614133616e-06
