window,prediction_mse,layer0_spectral_l1,layer1_spectral_l1,layer2_spectral_l1
227,0.04288928955793381,0.06891662733647197,0.09587992917870804,0.07407997686607068
228,0.037621162831783295,0.06999877299588979,0.096055931753848,0.07123745351616106
229,0.05022420734167099,0.06559861593933104,0.09354354842313573,0.0709357476307423
230,0.08152716606855392,0.060103684541538034,0.09292962381346417,0.07288666235769861
231,0.09838893264532089,0.06054536997517767,0.09874063910050147,0.07391343120533801
232,0.09367886185646057,0.06586370543847146,0.10018366261582572,0.07304247780168417
233,0.06292202323675156,0.0695349638566773,0.10009948806230452,0.07768311551881432
234,0.07417196035385132,0.06998687501446532,0.1008769450271875,0.08110876469030509
235,0.09609317034482956,0.06520078585435812,0.0966535637966013,0.07900562731630636
236,0.09596364945173264,0.06011373935261353,0.09357626185931062,0.07474908472633311
237,0.058616671711206436,0.060434526377422575,0.09723702369000224,0.07488894304124996
238,0.06172579899430275,0.06611417785216754,0.0985458905905086,0.07507665147053388
239,0.09012221544981003,0.06956440327585123,0.09709923574237879,0.07481844362271381
240,0.09904028475284576,0.07066372499508576,0.09781104740496263,0.07229078539881845
241,0.11479921638965607,0.065546705959568,0.09332148464590065,0.0721274996782113
242,0.09621261805295944,0.06027772870432861,0.09309974861224252,0.07241975931525271
243,0.06048092991113663,0.060464622175557904,0.09716646078945214,0.07313925804872684
244,0.048485610634088516,0.06608087304072872,0.09878206869146969,0.07433026401666554
245,0.05418377369642258,0.06968931643598106,0.09803486377803133,0.07574599148545809
246,0.053323984146118164,0.07052961742335326,0.09894767126736236,0.07769799848227063
247,0.07138215005397797,0.06455433144784632,0.09387046666690768,0.07651171167757538
248,0.0997728779911995,0.0598354302117978,0.09358063195657929,0.07627789092686577
249,0.07912037521600723,0.05994999870976191,0.09784988063165759,0.07733346240788119
250,0.061086393892765045,0.06524013850324918,0.09786349193745768,0.07765113860127032
251,0.05439271405339241,0.06924175469575627,0.09786301164383633,0.07646265840654026
252,0.05154351517558098,0.06956367873629692,0.09806312688702758,0.07046043116615794
253,0.0560162253677845,0.06338661447820555,0.09349128779307048,0.06987097995278481
254,0.08396074175834656,0.05923966455814478,0.09325235317887864,0.0725337844378988
255,0.08470088243484497,0.06004241522256329,0.09750731216675802,0.07317145313043584
256,0.04607055336236954,0.06566808825827257,0.0986976057150481,0.07265513615215352
257,0.05332467332482338,0.06931004673986098,0.0975025091384819,0.07652393442298305
258,0.07652271538972855,0.06924140245681314,0.09840586300228288,0.07787705233433796
259,0.10890697687864304,0.06302927661097506,0.09296639834112091,0.07525482028682932
260,0.09298872947692871,0.05978792681920826,0.09286305425151795,0.07150229549135996
261,0.05529902130365372,0.06136210479512088,0.09753941780915253,0.07176177663992317
262,0.05680421367287636,0.06644237438884838,0.09884752568812746,0.07269419600665465
263,0.08127109706401825,0.07054137229144467,0.0972444552383977,0.0730678909533783
264,0.08843805640935898,0.07020096447636326,0.09750519618576643,0.0714896453759118
265,0.09828903526067734,0.06353461402139873,0.09279886832423824,0.0718967785882141
266,0.0841151624917984,0.060492964605663495,0.09336172750240808,0.07213526051550141
267,0.05503252521157265,0.062338587986488954,0.09735195127599129,0.0718231747807164
268,0.04119149222970009,0.06714548872457503,0.1004660274164837,0.0737174773220585
269,0.03782808408141136,0.07171658614380391,0.10017513573311865,0.07623994582404268
270,0.03215211257338524,0.07118937125243098,0.09825896777421252,0.0766730727075746
271,0.04382793977856636,0.06412518286357023,0.09362378431551432,0.07628332687145734
272,0.07217909395694733,0.06066761478095106,0.09365125002427116,0.07618686349078281
273,0.06221788376569748,0.06263776485558513,0.09798965172215186,0.07680219374485218
274,0.05314122140407562,0.06713863902060803,0.10061886117627004,0.07848349720352837
275,0.05221308022737503,0.07128187616968057,0.10021880952448176,0.07636368641955299
276,0.048168450593948364,0.0709510663407839,0.09861349072623139,0.07039230741819207
277,0.053581103682518005,0.06403696905143573,0.09407298611295345,0.06990324557358872
278,0.08065791428089142,0.06117752799029643,0.09574045251982466,0.07301903603561127
279,0.10321862250566483,0.06306785235984082,0.09918508950547307,0.0738690144997212
280,0.10684574395418167,0.06777457900881681,0.10134689395891087,0.07391370700717274
281,0.09597193449735641,0.07262828845140729,0.10091815780615594,0.07835280567538284
282,0.12829817831516266,0.07205086581259466,0.09925144996202548,0.0804260592189369
283,0.1289350688457489,0.06390064820566592,0.09444049055881285,0.07873258712879529
284,0.09675809741020203,0.06157382114698263,0.09536157418373047,0.07539102369781862
285,0.05422532185912132,0.06317003669058784,0.09751335687875938,0.07402902622230369
286,0.06399503350257874,0.06901696681146968,0.100538890742487,0.07610590114395002
287,0.0879337266087532,0.07374632176333737,0.09947085355349715,0.0760855949174582
288,0.10074882209300995,0.07282108269671425,0.09755167908012502,0.07335316798802298
289,0.11456959694623947,0.06443685585092171,0.09279504578169312,0.07343867976318695
290,0.09352432936429977,0.062277549850594485,0.09483052827200136,0.07336013708195116
291,0.05523950979113579,0.06341345131937748,0.09753659273116103,0.0726234233579777
292,0.042865678668022156,0.06845143192181787,0.10100247116303981,0.0758500951723789
293,0.048874106258153915,0.07353331853199402,0.10013813262684158,0.07707747562234314
294,0.05563417077064514,0.07287666468692372,0.09900024952715224,0.07776810114240153
295,0.0719529539346695,0.06436553295755758,0.09454470814225574,0.07832671814350411
296,0.09992438554763794,0.06237268391263818,0.09556135875486209,0.07804536225051643
297,0.07949057221412659,0.06366892364039177,0.09882943467417146,0.07870156926082612
298,0.060377463698387146,0.06852291220301741,0.10061360321716271,0.07919483322666278
299,0.043958842754364014,0.07237226370241735,0.10040527305567094,0.07697839437200799
300,0.044338636100292206,0.0725343526230513,0.09749341013891176,0.07211281517780768
301,0.05088990181684494,0.06403357512927564,0.09361546812767255,0.07063945655040556
302,0.08711384236812592,0.062444059973009496,0.09578667539757539,0.07426254812481818
303,0.11032852530479431,0.06350592930553565,0.09991029955520926,0.07505316856360528
304,0.10964737832546234,0.06938161879629592,0.10290776112900621,0.07539332544875582
305,0.07032159715890884,0.07284432636265255,0.10327252790093229,0.07988365369778422
306,0.09636720269918442,0.07273100450262357,0.10060890984143446,0.08130636843702992
307,0.112116739153862,0.06407124115312954,0.09609533661042148,0.08125472874378371
308,0.11889529228210449,0.0630757503518255,0.09627057675776514,0.07736956390222047
309,0.07643788307905197,0.0639493937442183,0.09851666718090818,0.07560140358570816
310,0.08033852279186249,0.06974011700746653,0.10133651917041182,0.07669778744764065
311,0.10400598496198654,0.07372199317595136,0.09923324089134299,0.07644904577463407
312,0.11741273105144501,0.07351070235103979,0.09678502341229649,0.07330168908290159
313,0.14370843768119812,0.06482560155920877,0.09349658576833172,0.07378221206665456
314,0.11868461966514587,0.06309513831926213,0.0953681863141901,0.0737000295170036
315,0.07589496672153473,0.06391189738487396,0.09875467039480128,0.07385931753268851
